project_code,size,incorporation_status,region,investment_budget,public_funding,nace_2_digits_code,nace_2_digits_description,sector_code,sector_description
p_67,Micro,Existing Business,Eastern Macedonia and Thrace,1046947.25,721780.27,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_67,Micro,Existing Business,Eastern Macedonia and Thrace,1046947.25,721780.27,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_67,Micro,Existing Business,Eastern Macedonia and Thrace,1046947.25,721780.27,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_68,Micro,Existing Business,Western Macedonia,626096.45,426445.35,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_69,Medium,Existing Business,Central Macedonia,2056049.3,1231791.51,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_69,Medium,Existing Business,Central Macedonia,2056049.3,1231791.51,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_70,Small,New Business,Central Macedonia,309860.0,212602.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_71,Small,Existing Business,Central Macedonia,409680.0,229270.8,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_72,Micro,Existing Business,Central Macedonia,416554.45,286815.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_72,Micro,Existing Business,Central Macedonia,416554.45,286815.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_72,Micro,Existing Business,Central Macedonia,416554.45,286815.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_72,Micro,Existing Business,Central Macedonia,416554.45,286815.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_72,Micro,Existing Business,Central Macedonia,416554.45,286815.0,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_72,Micro,Existing Business,Central Macedonia,416554.45,286815.0,33,Repair and installation of machinery and equipment,C, Manufacturing
p_73,Small,Existing Business,Central Macedonia,992471.34,690069.89,27,Manufacture of electrical equipment,C, Manufacturing
p_74,Micro,Existing Business,Central Macedonia,402867.81,241220.68,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_75,Small,Existing Business,Central Macedonia,661848.0,330924.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_75,Small,Existing Business,Central Macedonia,661848.0,330924.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_75,Small,Existing Business,Central Macedonia,661848.0,330924.0,22,Manufacture of rubber and plastic products,C, Manufacturing
p_76,Micro,Existing Business,Central Greece,1050640.0,525320.0,22,Manufacture of rubber and plastic products,C, Manufacturing
p_76,Micro,Existing Business,Central Greece,1050640.0,525320.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_76,Micro,Existing Business,Central Greece,1050640.0,525320.0,33,Repair and installation of machinery and equipment,C, Manufacturing
p_76,Micro,Existing Business,Central Greece,1050640.0,525320.0,33,Repair and installation of machinery and equipment,C, Manufacturing
p_77,Medium,Existing Business,Attica,1173988.75,410896.06,31,Manufacture of furniture,C, Manufacturing
p_77,Medium,Existing Business,Attica,1173988.75,410896.06,31,Manufacture of furniture,C, Manufacturing
p_78,Micro,Existing Business,Central Greece,308100.0,184610.0,18,Printing and reproduction of recorded media,C, Manufacturing
p_78,Micro,Existing Business,Central Greece,308100.0,184610.0,18,Printing and reproduction of recorded media,C, Manufacturing
